,gender,senior,partner,dependents,tenure,phone,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,monthly_charges,total_charges,internet_dsl,internet_fiber,internet_no,contract_month,contract_1_yr,contract_2_yr,payment_bank,payment_credit_card,payment_electronic_check,payment_mailed_check,churn
2142,0,0,0,1,21,1,0,1,0,1,0,0,1,0,64.85,1336.8,1,0,0,0,1,0,0,0,0,1,0
1623,0,0,0,0,54,1,1,0,1,0,0,1,1,1,97.2,5129.45,0,1,0,0,0,1,1,0,0,0,0
6074,1,0,1,0,1,0,0,0,0,0,0,0,0,1,23.45,23.45,1,0,0,1,0,0,0,0,1,0,1
1362,1,0,0,0,4,1,0,0,0,0,0,0,0,1,70.2,237.95,0,1,0,1,0,0,0,0,1,0,1
6754,1,0,0,1,0,1,1,1,1,0,1,0,0,1,61.9,0.0,1,0,0,0,0,1,1,0,0,0,0
1212,1,0,0,0,7,1,0,0,0,0,0,0,0,1,69.55,521.35,0,1,0,1,0,0,0,0,1,0,0
2722,1,0,1,1,32,1,0,0,0,0,0,0,0,0,18.95,613.95,0,0,1,0,0,1,0,0,0,1,0
4006,1,0,1,1,72,1,0,0,0,0,0,0,0,1,19.8,1414.65,0,0,1,0,0,1,0,1,0,0,0
6791,1,0,0,0,19,0,0,0,0,1,0,1,0,1,39.65,733.35,1,0,0,1,0,0,0,0,1,0,1
5466,1,0,0,1,10,1,0,0,0,0,0,0,0,1,19.95,219.5,0,0,1,0,1,0,1,0,0,0,0
5852,1,1,1,0,21,1,0,0,0,0,0,0,0,1,69.1,1474.75,0,1,0,1,0,0,0,0,1,0,1
4195,0,1,0,0,45,1,1,1,0,0,1,0,1,1,70.05,3062.45,1,0,0,1,0,0,0,0,1,0,0
4166,1,1,0,0,32,1,0,0,0,0,0,0,0,0,19.8,587.7,0,0,1,0,1,0,0,1,0,0,0
5234,0,0,1,0,40,1,1,1,0,1,0,1,1,0,105.75,4228.55,0,1,0,0,1,0,1,0,0,0,0
3414,0,0,0,0,47,0,0,1,0,1,1,0,0,0,41.9,1875.25,1,0,0,0,0,1,0,0,0,1,0
1803,0,0,0,0,36,0,0,1,1,1,1,0,1,1,53.1,1901.25,1,0,0,0,0,1,0,0,0,1,0
6203,0,0,1,1,69,1,1,1,1,1,1,1,0,1,105.1,7234.8,0,1,0,0,1,0,0,1,0,0,0
5285,0,0,1,0,71,1,0,0,1,1,1,1,1,1,80.7,5705.05,1,0,0,0,0,1,0,1,0,0,0
1323,0,0,1,0,71,1,1,0,0,0,0,0,0,1,24.65,1710.15,0,0,1,0,0,1,1,0,0,0,0
5666,1,0,1,0,35,0,0,1,0,1,0,1,1,0,53.15,1930.9,1,0,0,0,1,0,0,1,0,0,0
1941,1,0,0,0,3,1,0,0,0,0,0,0,1,0,54.65,189.1,1,0,0,1,0,0,0,0,0,1,0
6601,1,1,1,0,72,1,1,0,1,1,1,1,1,0,109.7,7898.45,0,1,0,0,0,1,0,1,0,0,0
1902,1,0,1,1,72,1,1,1,1,1,1,1,1,1,90.6,6441.85,1,0,0,0,0,1,0,1,0,0,0
3704,0,0,1,1,68,1,1,1,1,1,0,1,0,1,73.0,5163.0,1,0,0,0,1,0,0,1,0,0,0
387,0,0,0,0,42,0,0,1,1,1,1,0,1,1,54.75,2348.45,1,0,0,0,1,0,0,0,1,0,0
5550,1,1,0,0,21,1,0,0,0,0,0,0,0,0,20.5,429.55,0,0,1,0,1,0,1,0,0,0,0
1032,0,1,0,0,8,1,0,0,0,1,0,1,1,1,92.1,729.95,0,1,0,1,0,0,0,0,1,0,1
4523,1,1,1,0,10,1,0,1,0,0,0,0,0,0,75.3,720.45,0,1,0,1,0,0,0,0,1,0,0
6582,0,0,0,0,71,1,1,1,1,1,0,1,1,1,106.75,7283.25,0,1,0,0,0,1,0,1,0,0,0
5587,0,1,0,0,46,1,0,0,1,1,0,1,0,1,91.3,4126.35,0,1,0,0,1,0,1,0,0,0,0
3306,0,0,1,1,3,1,0,0,1,0,1,0,0,1,80.0,241.3,0,1,0,1,0,0,0,0,1,0,0
6625,0,1,0,0,12,1,1,0,1,0,0,1,0,1,91.3,1094.5,0,1,0,1,0,0,0,0,1,0,1
3316,0,0,1,0,26,0,0,1,1,1,0,1,0,0,47.85,1190.5,1,0,0,0,1,0,1,0,0,0,0
1010,1,0,0,0,3,1,0,1,0,0,0,0,0,1,50.15,160.85,1,0,0,1,0,0,0,0,0,1,0
3641,0,0,0,0,49,1,0,0,0,1,1,1,1,1,74.45,3721.9,1,0,0,0,0,1,1,0,0,0,0
931,1,0,0,0,33,1,0,0,1,0,1,0,0,0,80.6,2651.1,0,1,0,0,0,1,1,0,0,0,0
6352,1,0,1,0,42,1,1,1,0,1,0,0,1,1,94.4,4014.6,0,1,0,1,0,0,0,0,1,0,0
691,1,0,1,1,31,1,1,1,1,0,1,0,1,1,75.25,2344.5,1,0,0,0,1,0,1,0,0,0,0
533,1,1,1,1,68,1,1,0,0,1,1,1,1,1,107.15,7379.8,0,1,0,0,1,0,0,1,0,0,0
6451,1,1,1,1,66,1,1,1,1,1,1,1,1,1,116.25,7862.25,0,1,0,0,1,0,0,0,1,0,0
2227,1,0,1,1,58,1,0,0,0,0,0,0,0,1,19.55,1108.8,0,0,1,0,1,0,0,0,1,0,0
652,1,0,1,1,35,1,0,0,0,0,0,0,0,0,20.1,655.3,0,0,1,0,0,1,0,0,0,1,0
33,1,0,0,0,1,1,0,0,0,0,0,0,0,0,20.2,20.2,0,0,1,1,0,0,1,0,0,0,0
4118,0,0,0,0,40,1,0,0,1,0,0,0,0,0,74.8,2971.7,0,1,0,1,0,0,0,1,0,0,0
44,0,0,1,0,13,1,1,1,1,0,1,1,0,1,76.2,981.45,1,0,0,1,0,0,0,0,1,0,0
6767,1,0,1,0,57,1,0,1,0,0,1,0,0,0,55.7,3171.6,1,0,0,1,0,0,0,0,1,0,0
5100,0,0,0,0,1,1,0,0,0,1,0,0,0,0,75.3,75.3,0,1,0,1,0,0,0,0,1,0,1
964,1,0,0,0,1,1,0,0,0,0,0,0,0,1,45.7,45.7,1,0,0,1,0,0,0,0,0,1,1
5589,0,0,0,0,46,1,0,0,0,1,1,0,0,0,54.35,2460.15,1,0,0,0,0,1,0,1,0,0,1
2415,0,1,1,1,40,1,1,0,0,0,0,1,1,1,94.55,3640.45,0,1,0,1,0,0,0,1,0,0,1
6202,1,0,1,1,21,1,1,1,1,0,1,1,0,0,77.5,1625.0,1,0,0,0,1,0,0,0,0,1,1
2263,0,0,0,0,6,1,0,1,1,1,1,0,1,1,98.15,567.45,0,1,0,1,0,0,1,0,0,0,1
5202,1,0,1,1,59,1,1,1,1,0,1,1,1,1,111.1,6555.2,0,1,0,0,0,1,0,0,0,1,0
4450,1,0,0,0,15,1,1,0,1,0,1,0,0,1,58.6,939.7,1,0,0,1,0,0,0,1,0,0,1
5247,0,0,0,0,27,1,1,0,0,0,0,1,1,1,94.55,2724.6,0,1,0,1,0,0,0,0,0,1,1
6306,1,0,0,0,71,1,1,1,1,1,1,1,1,1,116.3,8309.55,0,1,0,0,1,0,1,0,0,0,0
5244,0,0,0,0,45,1,1,0,0,1,0,0,1,1,89.3,4192.15,0,1,0,1,0,0,0,1,0,0,0
2316,1,0,0,0,4,1,0,0,0,0,0,0,0,0,20.7,73.05,0,0,1,1,0,0,0,0,0,1,0
2617,0,0,0,0,1,1,0,0,0,0,0,0,0,1,19.6,19.6,0,0,1,1,0,0,0,0,0,1,1
26,1,0,1,1,47,1,1,0,1,0,0,1,1,1,99.35,4749.15,0,1,0,1,0,0,0,0,1,0,1
3605,1,0,0,0,34,1,0,0,1,0,0,0,0,1,49.8,1734.2,1,0,0,1,0,0,0,0,1,0,0
63,0,0,1,1,18,1,0,0,0,1,1,0,0,1,54.4,957.1,1,0,0,0,1,0,0,1,0,0,0
1044,0,0,0,0,8,1,0,1,0,0,1,0,0,0,54.25,447.75,1,0,0,0,1,0,1,0,0,0,0
3660,1,0,0,0,7,0,0,0,0,1,1,0,0,1,35.5,249.55,1,0,0,0,1,0,0,1,0,0,0
5360,1,0,1,1,5,1,1,1,0,1,0,0,0,1,84.5,453.75,0,1,0,1,0,0,0,0,1,0,1
2656,0,0,0,0,39,1,0,0,0,0,1,0,1,0,59.3,2209.15,1,0,0,0,1,0,0,0,1,0,0
1454,1,0,1,1,29,1,0,0,0,0,0,0,0,1,20.65,654.85,0,0,1,1,0,0,0,0,0,1,0
227,0,0,1,0,1,1,0,0,0,0,0,1,0,0,55.2,55.2,1,0,0,1,0,0,0,0,0,1,1
6984,1,0,0,1,31,0,0,0,0,0,0,0,0,0,25.0,789.2,1,0,0,1,0,0,0,1,0,0,0
3080,1,0,0,0,2,0,0,0,0,0,0,0,0,0,24.3,38.45,1,0,0,1,0,0,0,0,0,1,0
3317,1,0,1,0,63,1,0,1,1,0,1,1,0,0,70.8,4448.8,1,0,0,0,1,0,0,1,0,0,0
5035,1,0,0,0,20,1,0,0,0,0,0,1,0,0,78.8,1641.3,0,1,0,1,0,0,0,0,1,0,0
